Start to init hits and costs
Finished to init hits and costs
Ref 0 RI 1 CNT 896
Ref 0 RI 1018 CNT 1
Ref 0 RI 1074 CNT 1
Ref 0 RI 1130 CNT 1
Ref 0 RI 1186 CNT 1
Ref 0 RI 1242 CNT 1
Ref 0 RI 1298 CNT 1
Ref 0 RI 1354 CNT 1
Ref 0 RI 1410 CNT 1
Ref 0 RI 1466 CNT 1
Ref 0 RI 1522 CNT 1
Ref 0 RI 1578 CNT 1
Ref 0 RI 1634 CNT 1
Ref 0 RI 1690 CNT 1
Ref 0 RI 1746 CNT 1
Ref 0 RI 1802 CNT 1
Ref 0 RI 1858 CNT 1
Ref 0 RI 1914 CNT 1
Ref 0 RI 1970 CNT 1
Ref 0 RI 2026 CNT 1
Ref 0 RI 2082 CNT 1
Ref 0 RI 2138 CNT 1
Ref 0 RI 2194 CNT 1
Ref 0 RI 2250 CNT 1
Ref 0 RI 2306 CNT 1
Ref 0 RI 2362 CNT 1
Ref 0 RI 2418 CNT 1
Ref 0 RI 2474 CNT 1
Ref 0 RI 2530 CNT 1
Ref 0 RI 2586 CNT 1
Ref 0 RI 2642 CNT 1
Ref 0 RI 2698 CNT 1
Ref 0 RI 2754 CNT 1
Ref 0 RI 2810 CNT 1
Ref 0 RI 2866 CNT 1
Ref 0 RI 2922 CNT 1
Ref 0 RI 2978 CNT 1
Ref 0 RI 3034 CNT 1
Ref 0 RI 3090 CNT 1
Ref 0 RI 3146 CNT 1
Ref 0 RI 3202 CNT 1
Ref 0 RI 3258 CNT 1
Ref 0 RI 3314 CNT 1
Ref 0 RI 3370 CNT 1
Ref 0 RI 3426 CNT 1
Ref 0 RI 3482 CNT 1
Ref 0 RI 3538 CNT 1
Ref 0 RI 3594 CNT 1
Ref 0 RI 3650 CNT 1
Ref 0 RI 3706 CNT 1
Ref 0 RI 3762 CNT 1
Ref 0 RI 3818 CNT 1
Ref 0 RI 3874 CNT 1
Ref 0 RI 3930 CNT 1
Ref 0 RI 3986 CNT 1
