Start to init hits and costs
Finished to init hits and costs
Ref 0 RI 1 CNT 8388608
Ref 0 RI 2 CNT 1040384
Ref 0 RI 3 CNT 1064312832
Ref 0 RISETSIZE 3
Ref 1 RI 1 CNT 8192
Ref 1 RI 2 CNT 8380416
Ref 1 RI 3 CNT 1040384
Ref 1 RI 4 CNT 1063272448
Ref 1 RI 5 CNT 8
Ref 1 RI 37 CNT 8
Ref 1 RI 69 CNT 8
Ref 1 RI 101 CNT 8
Ref 1 RI 133 CNT 8
Ref 1 RI 165 CNT 8
Ref 1 RI 197 CNT 8
Ref 1 RI 229 CNT 8
Ref 1 RI 261 CNT 8
Ref 1 RI 293 CNT 8
Ref 1 RI 325 CNT 8
Ref 1 RI 357 CNT 8
Ref 1 RI 389 CNT 8
Ref 1 RI 421 CNT 8
Ref 1 RI 453 CNT 8
Ref 1 RI 485 CNT 8
Ref 1 RI 517 CNT 8
Ref 1 RI 549 CNT 8
Ref 1 RI 581 CNT 8
Ref 1 RI 613 CNT 8
Ref 1 RI 645 CNT 8
Ref 1 RI 677 CNT 8
Ref 1 RI 709 CNT 8
Ref 1 RI 741 CNT 8
Ref 1 RI 773 CNT 8
Ref 1 RI 805 CNT 8
Ref 1 RI 837 CNT 8
Ref 1 RI 869 CNT 8
Ref 1 RI 901 CNT 8
Ref 1 RI 933 CNT 8
Ref 1 RI 965 CNT 8
Ref 1 RI 997 CNT 8
Ref 1 RI 1029 CNT 8
Ref 1 RI 1061 CNT 8
Ref 1 RI 1093 CNT 8
Ref 1 RI 1125 CNT 8
Ref 1 RI 1157 CNT 8
Ref 1 RI 1189 CNT 8
Ref 1 RI 1221 CNT 8
Ref 1 RI 1253 CNT 8
Ref 1 RI 1285 CNT 8
Ref 1 RI 1317 CNT 8
Ref 1 RI 1349 CNT 8
Ref 1 RI 1381 CNT 8
Ref 1 RI 1413 CNT 8
Ref 1 RI 1445 CNT 8
Ref 1 RI 1477 CNT 8
Ref 1 RI 1509 CNT 8
Ref 1 RI 1541 CNT 8
Ref 1 RI 1573 CNT 8
Ref 1 RI 1605 CNT 8
Ref 1 RI 1637 CNT 8
Ref 1 RI 1669 CNT 8
Ref 1 RI 1701 CNT 8
Ref 1 RI 1733 CNT 8
Ref 1 RI 1765 CNT 8
Ref 1 RI 1797 CNT 8
Ref 1 RI 1829 CNT 8
Ref 1 RI 1861 CNT 8
Ref 1 RI 1893 CNT 8
Ref 1 RI 1925 CNT 8
Ref 1 RI 1957 CNT 8
Ref 1 RI 1989 CNT 8
Ref 1 RI 2021 CNT 8
Ref 1 RI 2053 CNT 8
Ref 1 RI 2085 CNT 8
Ref 1 RI 2117 CNT 8
Ref 1 RI 2149 CNT 8
Ref 1 RI 2181 CNT 8
Ref 1 RI 2213 CNT 8
Ref 1 RI 2245 CNT 8
Ref 1 RI 2277 CNT 8
Ref 1 RI 2309 CNT 8
Ref 1 RI 2341 CNT 8
Ref 1 RI 2373 CNT 8
Ref 1 RI 2405 CNT 8
Ref 1 RI 2437 CNT 8
Ref 1 RI 2469 CNT 8
Ref 1 RI 2501 CNT 8
Ref 1 RI 2533 CNT 8
Ref 1 RI 2565 CNT 8
Ref 1 RI 2597 CNT 8
Ref 1 RI 2629 CNT 8
Ref 1 RI 2661 CNT 8
Ref 1 RI 2693 CNT 8
Ref 1 RI 2725 CNT 8
Ref 1 RI 2757 CNT 8
Ref 1 RI 2789 CNT 8
Ref 1 RI 2821 CNT 8
Ref 1 RI 2853 CNT 8
Ref 1 RI 2885 CNT 8
Ref 1 RI 2917 CNT 8
Ref 1 RI 2949 CNT 8
Ref 1 RI 2981 CNT 8
