Start to init hits and costs
Finished to init hits and costs
Ref 0 RI 3 CNT 1048576
Ref 0 RISETSIZE 1
Ref 1 RI 4 CNT 917504
Ref 1 RI 8160 CNT 1
Ref 1 RI 12252 CNT 1
Ref 1 RI 16344 CNT 1
Ref 1 RI 20436 CNT 1
Ref 1 RI 24528 CNT 1
Ref 1 RI 28620 CNT 1
Ref 1 RI 32712 CNT 1
Ref 1 RI 36804 CNT 1
Ref 1 RI 40896 CNT 2
Ref 1 RI 44988 CNT 2
Ref 1 RI 49080 CNT 2
Ref 1 RI 53172 CNT 2
Ref 1 RI 57264 CNT 2
Ref 1 RI 61356 CNT 2
Ref 1 RI 65448 CNT 2
Ref 1 RI 69540 CNT 2
Ref 1 RI 73632 CNT 3
Ref 1 RI 77724 CNT 3
Ref 1 RI 81816 CNT 3
Ref 1 RI 85908 CNT 3
Ref 1 RI 90000 CNT 3
Ref 1 RI 94092 CNT 3
Ref 1 RI 98184 CNT 3
Ref 1 RI 102276 CNT 3
Ref 1 RI 106368 CNT 4
Ref 1 RI 110460 CNT 4
Ref 1 RI 114552 CNT 4
Ref 1 RI 118644 CNT 4
Ref 1 RI 122736 CNT 4
Ref 1 RI 126828 CNT 4
Ref 1 RI 130920 CNT 4
Ref 1 RI 135012 CNT 4
Ref 1 RI 139104 CNT 5
Ref 1 RI 143196 CNT 5
Ref 1 RI 147288 CNT 5
Ref 1 RI 151380 CNT 5
Ref 1 RI 155472 CNT 5
Ref 1 RI 159564 CNT 5
Ref 1 RI 163656 CNT 5
Ref 1 RI 167748 CNT 5
Ref 1 RI 171840 CNT 6
Ref 1 RI 175932 CNT 6
Ref 1 RI 180024 CNT 6
Ref 1 RI 184116 CNT 6
Ref 1 RI 188208 CNT 6
Ref 1 RI 192300 CNT 6
Ref 1 RI 196392 CNT 6
Ref 1 RI 200484 CNT 6
Ref 1 RI 204576 CNT 7
Ref 1 RI 208668 CNT 7
Ref 1 RI 212760 CNT 7
Ref 1 RI 216852 CNT 7
Ref 1 RI 220944 CNT 7
Ref 1 RI 225036 CNT 7
Ref 1 RI 229128 CNT 7
Ref 1 RI 233220 CNT 7
Ref 1 RI 237312 CNT 8
Ref 1 RI 241404 CNT 8
Ref 1 RI 245496 CNT 8
Ref 1 RI 249588 CNT 8
Ref 1 RI 253680 CNT 8
Ref 1 RI 257772 CNT 8
Ref 1 RI 261864 CNT 8
Ref 1 RI 265956 CNT 8
Ref 1 RI 270048 CNT 9
Ref 1 RI 274140 CNT 9
Ref 1 RI 278232 CNT 9
