0,2,10838
0,4,146700
0,8,162
0,16,259
0,32,549
0,64,1095
0,128,1909
0,256,3142
0,512,4642
0,1024,5699
0,2048,3438
1,4,431
1,8,1093
1,16,1984
1,32,4894
1,64,8996
1,128,15415
1,256,24331
1,512,33982
1,1024,40308
1,2048,24988
1,16384,7
1,32768,61
1,65536,219
1,131072,650
1,262144,1489
1,524288,3594
1,1048576,15960
1,2097152,14
2,1,26
2,2,178758
2,64,1
2,1024,1
2,4096,15
2,8192,18
2,16384,20
2,32768,16
2,65536,16
2,131072,19
2,262144,14
2,524288,17
2,1048576,35
3,1,178433
4,1,9510
4,2,168923
5,4,32
5,8,47
5,16,99
5,32,164
5,64,260
5,128,427
5,256,686
5,512,1010
5,1024,1172
5,2048,734
5,16384,1
5,32768,3
5,65536,12
5,131072,13
5,262144,43
5,524288,94
5,1048576,425
5,2097152,15
6,1,5237
7,1,203
7,2,4408
7,32,24
7,64,49
7,128,62
7,256,91
7,512,146
7,1024,155
7,2048,99
8,2,28
8,4,156124
8,8,28
8,16,40
8,32,223
8,64,418
8,128,736
8,256,1450
8,512,2914
8,1024,5772
8,2048,11054
9,4,150
9,8,310
9,16,581
9,32,1144
9,64,2466
9,128,4966
9,256,9720
9,512,19614
9,1024,39180
9,2048,77737
9,4096,27
9,8192,39
9,16384,103
9,32768,186
9,65536,361
9,131072,721
9,262144,1606
9,524288,3640
9,1048576,16239
10,1,178956
